img_pair,is_related
face05508.jpg-face01210.jpg,0.044
face05750.jpg-face00898.jpg,0.174
face05820.jpg-face03938.jpg,0.173
face02104.jpg-face01172.jpg,0.152
face02428.jpg-face05611.jpg,0.099
face01219.jpg-face00274.jpg,0.109
face04262.jpg-face00555.jpg,0
face03697.jpg-face01892.jpg,0.152
face03524.jpg-face00319.jpg,0.175
face03410.jpg-face05368.jpg,0.07
face00292.jpg-face06004.jpg,0.142
face00353.jpg-face01203.jpg,0.177
face03140.jpg-face05223.jpg,0.147
face02915.jpg-face03312.jpg,0.228
face03012.jpg-face04103.jpg,0.001
face02240.jpg-face02336.jpg,0.197
face02131.jpg-face05209.jpg,0.142
face04105.jpg-face01209.jpg,0.091
face03565.jpg-face02509.jpg,0.117
face02836.jpg-face01540.jpg,0.124
face02832.jpg-face05386.jpg,0.104
face02596.jpg-face02913.jpg,0.136
face02231.jpg-face05835.jpg,0.189
face00451.jpg-face03664.jpg,0.118
face01644.jpg-face01682.jpg,0.133
face03988.jpg-face03379.jpg,0.194
face00908.jpg-face05944.jpg,0.047
face05117.jpg-face03498.jpg,0.134
face05466.jpg-face02942.jpg,0.161
face01537.jpg-face00187.jpg,0
face03609.jpg-face05219.jpg,0.018
face04820.jpg-face04526.jpg,0.115
face05963.jpg-face00176.jpg,0.113
face04372.jpg-face03101.jpg,0.194
face01496.jpg-face04980.jpg,0.011
face04215.jpg-face01123.jpg,0.041
face02624.jpg-face05000.jpg,0.066
face04434.jpg-face03376.jpg,0.07
face03417.jpg-face03461.jpg,0.173
face03142.jpg-face00593.jpg,0.103
face00094.jpg-face04094.jpg,0
face05700.jpg-face03910.jpg,0.021
face03620.jpg-face03203.jpg,0.159
face05074.jpg-face03806.jpg,0.159
face03836.jpg-face05917.jpg,0.185
face04495.jpg-face02846.jpg,0.137
face01690.jpg-face01033.jpg,0.095
face01766.jpg-face06057.jpg,0.098
face04896.jpg-face01845.jpg,0.176
face05468.jpg-face04688.jpg,0.096
face00293.jpg-face02930.jpg,0.135
face05980.jpg-face03965.jpg,0.109
face02066.jpg-face01778.jpg,0.156
face00710.jpg-face02119.jpg,0.135
face03708.jpg-face06116.jpg,0.333
face01825.jpg-face04134.jpg,0.019
face00018.jpg-face03702.jpg,0.115
face05351.jpg-face00003.jpg,0.184
face03438.jpg-face05696.jpg,0.136
face05666.jpg-face02015.jpg,0.042
face05517.jpg-face02936.jpg,0.068
face03531.jpg-face01422.jpg,0.11
face00762.jpg-face01849.jpg,0.173
face00233.jpg-face01504.jpg,0.1
face02171.jpg-face04218.jpg,0.061
face01617.jpg-face00906.jpg,0.044
face00656.jpg-face00790.jpg,0.007
face01298.jpg-face03118.jpg,0.112
face02603.jpg-face05437.jpg,0.105
face01623.jpg-face03582.jpg,0.144
face00517.jpg-face04211.jpg,0.006
face03682.jpg-face04838.jpg,0.084
face05305.jpg-face02194.jpg,0.026
face00841.jpg-face00906.jpg,0.056
face05493.jpg-face02508.jpg,0.087
face03948.jpg-face05516.jpg,0.047
face05588.jpg-face00543.jpg,0.144
face00810.jpg-face02910.jpg,0.105
face03021.jpg-face03627.jpg,0.333
face04971.jpg-face01655.jpg,0.019
face04719.jpg-face03788.jpg,0.227
face03402.jpg-face04336.jpg,0.126
face06068.jpg-face00384.jpg,0.113
face04103.jpg-face01972.jpg,0.104
face00331.jpg-face00411.jpg,0.019
face00854.jpg-face03592.jpg,0.094
face03343.jpg-face02264.jpg,0.141
face01959.jpg-face00060.jpg,0.138
face02928.jpg-face05094.jpg,0.145
face00224.jpg-face04154.jpg,0.145
face00908.jpg-face05554.jpg,0.062
face00575.jpg-face02530.jpg,0.139
face00171.jpg-face02170.jpg,0.014
face03640.jpg-face04729.jpg,0.124
face00549.jpg-face01264.jpg,0.017
face05053.jpg-face04330.jpg,0.2
face00099.jpg-face01930.jpg,0.046
face04561.jpg-face00921.jpg,0.165
face04380.jpg-face03551.jpg,0.006
face02137.jpg-face04891.jpg,0.104
face01084.jpg-face02672.jpg,0.115
face05050.jpg-face05970.jpg,0.106
face04706.jpg-face04695.jpg,0.056
face04537.jpg-face00012.jpg,0.106
face01741.jpg-face05524.jpg,0.041
face04312.jpg-face04329.jpg,0.11
face05177.jpg-face03334.jpg,0.151
face02753.jpg-face05441.jpg,0.141
face01344.jpg-face03369.jpg,0.033
face02149.jpg-face02687.jpg,0.095
face01294.jpg-face05177.jpg,0.002
face02458.jpg-face01336.jpg,0.329
face02952.jpg-face03460.jpg,0.157
face04084.jpg-face03649.jpg,0.147
face04886.jpg-face04348.jpg,0.115
